EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
84426,Fromm,Jake,BFB,QB,10,22,215,74,0,Georgia
41481,Graham,Jimmy,CHB,TE,80,33,260,79,11,Miami (FL)
99287,Valdes-Scantling,Marquez,GBP,WR,83,26,206,76,3,South Florida
34239,Brown,John,BFB,WR,15,30,178,71,7,Pittsburg State
80464,Van Noy,Kyle,MMD,LB,53,29,250,75,7,BYU
68861,Walker,DeMarcus,DVB,DE,57,26,280,76,4,Florida State
27528,Johnson III,John,LAR,S,43,24,209,72,4,Boston College
34056,Buckner,DeForest,INC,DT,99,26,295,79,5,Oregon
31674,Hunt,Robert,MMD,OT,68,24,323,78,0,Louisiana-Lafayette
33426,Hill,Taysom,NOS,QB,7,30,221,74,4,BYU
42477,Togiai,Noah,INC,TE,86,23,244,76,0,Oregon State
86903,Thomas,Joe,DLC,LB,48,29,230,73,6,South Carolina State
62607,Gillaspia,Cullen,HST,FB,44,25,235,74,2,Texas A&M
62567,Traore,Badara,CHB,OT,76,23,320,79,0,LSU
57205,St. Brown,Equanimeous,GBP,WR,19,24,214,77,3,Notre Dame
51088,Sprinkle,Jeremy,WAS,TE,87,26,255,77,4,Arkansas
73484,Shaheen,Adam,MMD,TE,80,26,257,79,4,Ashland
91966,Tavai,Jahlani,DTL,LB,51,24,250,74,2,Hawai'i'
15033,Stidham,Jarrett,NEP,QB,4,24,215,75,2,Auburn
93527,Correa,Kamalei,JKJ,LB,40,26,241,75,5,Boise State
84612,Jeffery,Alshon,PHE,WR,17,30,218,75,9,South Carolina
91173,Whittaker,Jace,AZC,CB,39,25,185,71,0,Arizona
71427,Baun,Zack,NOS,LB,53,23,225,75,0,Wisconsin
50634,Key,Arden,LVR,DE,99,24,240,77,3,LSU
40394,Tomlinson,Dalvin,NYG,DT,94,26,318,75,4,Alabama
88400,Booker,Devontae,LVR,RB,23,28,219,71,5,Utah
23912,Erickson,Alex,CNB,WR,12,28,195,72,5,Wisconsin
44112,Erving,Cameron,DLC,OT,75,28,305,78,6,Florida State
98416,Tomlinson,Laken,SFN,G,75,28,315,75,6,Duke
42941,Blackmon,Julian,INC,S,32,22,187,72,0,Utah
27071,Bernard,Francis,DLC,LB,44,25,230,73,0,Utah
84619,Witten,Jason,LVR,TE,82,38,263,78,17,Tennessee
41858,Martin,Sam,DVB,P,6,30,211,73,8,Appalachian State
34092,Ryan,Logan,NYG,CB,23,29,195,71,8,Rutgers
48662,Coleman,Justin,DTL,CB,27,27,190,71,6,Tennessee
39074,Addison,Mario,BFB,DE,97,33,260,75,10,Troy
65191,Jones,Ben,TNT,C,60,31,308,75,9,Georgia
10180,Robertson,Craig,NOS,LB,52,32,234,73,9,North Texas
